timestamp,Flujo Aire Reactor 1,Flujo Aire Reactor 3,OD Reactor 1,OD Reactor 2,test
2024-12-05T07:36:00-04:00,,8786.0,,,
2024-12-05T07:37:00-04:00,,8871.0,,,
2024-12-05T07:38:00-04:00,,8550.0,,,
2024-12-05T07:39:00-04:00,,8892.0,,,
2024-12-05T07:40:00-04:00,,8591.0,,,
2024-12-05T07:41:00-04:00,,8549.0,,,
2024-12-05T07:42:00-04:00,,8723.0,,,
2024-12-05T07:43:00-04:00,,8980.0,,,
2024-12-05T07:44:00-04:00,,8658.0,,,
2024-12-05T07:45:00-04:00,,8579.0,,,
2024-12-05T07:46:00-04:00,,8941.0,,,
2024-12-05T07:47:00-04:00,,8602.0,,,
2024-12-05T07:48:00-04:00,,,,,
2024-12-05T07:49:00-04:00,,,,,
2024-12-05T07:50:00-04:00,,8887.0,,,
2024-12-05T07:51:00-04:00,,8883.0,,,
2024-12-05T07:52:00-04:00,,8629.0,,,
2024-12-05T07:53:00-04:00,,8570.0,,,
2024-12-05T07:54:00-04:00,,8812.0,,,
2024-12-05T07:55:00-04:00,,8903.0,,,
2024-12-05T07:56:00-04:00,,,,,
2024-12-05T07:57:00-04:00,,8948.0,,,
2024-12-05T07:58:00-04:00,,8948.0,,,
2024-12-05T07:59:00-04:00,,8636.0,,,
2024-12-05T08:00:00-04:00,,,,,
2024-12-05T08:01:00-04:00,,,,,
2024-12-05T08:02:00-04:00,,8776.0,,,
2024-12-05T08:03:00-04:00,,8563.0,,,
2024-12-05T08:04:00-04:00,,8707.0,,,
2024-12-05T08:05:00-04:00,,8715.0,,,
2024-12-05T08:06:00-04:00,,8902.0,,,
2024-12-05T08:07:00-04:00,,8862.0,,,
2024-12-05T08:08:00-04:00,,8514.0,,,
2024-12-05T08:09:00-04:00,,8968.0,,,
2024-12-05T08:10:00-04:00,,,,,
2024-12-05T08:11:00-04:00,,8588.0,,,
2024-12-05T08:12:00-04:00,,8586.0,,,
2024-12-05T08:13:00-04:00,,8743.0,,,
2024-12-05T08:14:00-04:00,,8565.0,,,
2024-12-05T08:15:00-04:00,,8868.0,,,
2024-12-05T08:16:00-04:00,,,,,
2024-12-05T08:17:00-04:00,,8725.0,,,
2024-12-05T08:18:00-04:00,,8816.0,,,
2024-12-05T08:19:00-04:00,,8512.0,,,
2024-12-05T08:20:00-04:00,,8794.0,,,
2024-12-05T08:21:00-04:00,,9004.0,,,
2024-12-05T08:22:00-04:00,,8680.0,,,
2024-12-05T08:23:00-04:00,,8898.0,,,
2024-12-05T08:24:00-04:00,,8996.0,,,
2024-12-05T08:25:00-04:00,,,,,
2024-12-05T08:26:00-04:00,,8908.0,,,
2024-12-05T08:27:00-04:00,,8599.0,,,
2024-12-05T08:28:00-04:00,,8803.0,,,
2024-12-05T08:29:00-04:00,,8942.0,,,
2024-12-05T08:30:00-04:00,,8496.0,,,
2024-12-05T08:31:00-04:00,,8706.0,,,
2024-12-05T08:32:00-04:00,,,,,
2024-12-05T08:33:00-04:00,,8981.0,,,
2024-12-05T08:34:00-04:00,,8941.0,,,
2024-12-05T08:35:00-04:00,,8722.0,,,
2024-12-05T08:36:00-04:00,,8821.0,,,
2024-12-05T08:37:00-04:00,,8908.0,,,
2024-12-05T08:38:00-04:00,,8846.0,,,
2024-12-05T08:39:00-04:00,,8932.0,,,
2024-12-05T08:40:00-04:00,,8732.0,,,
2024-12-05T08:41:00-04:00,,8963.0,,,
2024-12-05T08:42:00-04:00,,8725.0,,,
2024-12-05T08:43:00-04:00,,8678.0,,,
2024-12-05T08:44:00-04:00,,8868.0,,,
2024-12-05T08:45:00-04:00,,8814.0,,,
2024-12-05T08:46:00-04:00,,8776.0,,,
2024-12-05T08:47:00-04:00,,,,,
2024-12-05T08:48:00-04:00,,,,,
2024-12-05T08:49:00-04:00,,,,,
2024-12-05T08:50:00-04:00,,8951.0,,,
2024-12-05T08:51:00-04:00,,8710.0,,,
2024-12-05T08:52:00-04:00,,8897.0,,,
2024-12-05T08:53:00-04:00,,8880.0,,,
2024-12-05T08:54:00-04:00,,8791.0,,,
2024-12-05T08:55:00-04:00,,8899.0,,,
2024-12-05T08:56:00-04:00,,8759.0,,,
2024-12-05T08:57:00-04:00,,8773.0,,,
2024-12-05T08:58:00-04:00,,8648.0,,,
2024-12-05T08:59:00-04:00,,8585.0,,,
2024-12-05T09:00:00-04:00,,8813.0,,,
2024-12-05T09:01:00-04:00,,8812.0,,,
2024-12-05T09:02:00-04:00,,,,,
2024-12-05T09:03:00-04:00,,8915.0,,,
2024-12-05T09:04:00-04:00,1816.0,1400.0,,,
2024-12-05T09:05:00-04:00,267.0,177.0,,,
2024-12-05T09:06:00-04:00,240.0,196.0,,,
2024-12-05T09:07:00-04:00,153.0,73.0,,,
2024-12-05T09:08:00-04:00,182.0,1.0,,,
2024-12-05T09:09:00-04:00,226.0,54.0,,,
2024-12-05T09:10:00-04:00,242.0,44.0,,,
2024-12-05T09:11:00-04:00,245.0,74.0,,,
2024-12-05T09:12:00-04:00,242.0,85.0,,,
2024-12-05T09:13:00-04:00,251.0,87.0,,,
2024-12-05T09:14:00-04:00,247.0,106.0,,,
2024-12-05T09:15:00-04:00,244.0,93.0,,,
2024-12-05T09:16:00-04:00,239.0,110.0,,,
2024-12-05T09:17:00-04:00,227.0,105.0,,,
2024-12-05T09:18:00-04:00,203.0,97.0,,,
2024-12-05T09:19:00-04:00,194.0,84.0,,,
2024-12-05T09:20:00-04:00,172.0,53.0,,,
2024-12-05T09:21:00-04:00,171.0,88.0,,,
2024-12-05T09:22:00-04:00,123.0,1.0,,,
2024-12-05T09:23:00-04:00,107.0,1.0,,,
2024-12-05T09:24:00-04:00,122.0,95.0,,,
2024-12-05T09:25:00-04:00,101.0,93.0,,,
2024-12-05T09:26:00-04:00,115.0,0.0,,,
2024-12-05T09:27:00-04:00,140.0,0.0,,,
2024-12-05T09:28:00-04:00,120.0,1.0,,,
2024-12-05T09:29:00-04:00,108.0,31.0,,,
2024-12-05T09:30:00-04:00,147.0,23.0,,,
2024-12-05T09:31:00-04:00,127.0,0.0,,,
2024-12-05T09:32:00-04:00,145.0,1.0,,,
2024-12-05T09:33:00-04:00,126.0,0.0,,,
2024-12-05T09:34:00-04:00,163.0,0.0,,,
2024-12-05T09:35:00-04:00,122.0,1.0,,,
2024-12-05T09:36:00-04:00,127.0,0.0,,,
2024-12-05T09:37:00-04:00,132.0,42.0,,,
2024-12-05T09:38:00-04:00,129.0,0.0,,,
2024-12-05T09:39:00-04:00,133.0,8.0,,,
2024-12-05T09:40:00-04:00,152.0,0.0,,,
2024-12-05T09:41:00-04:00,145.0,0.0,,,
2024-12-05T09:42:00-04:00,149.0,1.0,,,
2024-12-05T09:43:00-04:00,153.0,17.0,,,
2024-12-05T09:44:00-04:00,145.0,5.0,,,
2024-12-05T09:45:00-04:00,149.0,31.0,,,
2024-12-05T09:46:00-04:00,135.0,33.0,,,
2024-12-05T09:47:00-04:00,148.0,31.0,,,
2024-12-05T09:48:00-04:00,146.0,96.0,,,
2024-12-05T09:49:00-04:00,143.0,106.0,,,
2024-12-05T09:50:00-04:00,138.0,88.0,,,
2024-12-05T09:51:00-04:00,150.0,1.0,,,
2024-12-05T09:52:00-04:00,,17.0,,,
2024-12-05T09:53:00-04:00,133.0,11.0,,,
2024-12-05T09:54:00-04:00,137.0,27.0,,,
