col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Nivel Clarificado DAF (Tk 80m3),numeric,0.6206748270691625,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
Nivel Ecualizador 1 (Tk 30m3),numeric,0.23093798382999636,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Nivel Ecualizador 2 (Tk 250m3),numeric,0.37131304338881305,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Temperatura DAF,numeric,0.500031656589319,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Turbidez salida DAF,numeric,0.6315363932424487,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
pH Clarificado DAF (Tk 80m3),numeric,0.6779529102470074,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
pH coagulación entrada DAF,numeric,0.6938361518322194,0.55,mannwhitney,True,,,,,,,planta1,decay,mannwhitney
pH entrada a Ecualizador 1,numeric,0.5000316545851666,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.21314342197784464,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
pH salida a Parshall 02,numeric,0.5461745641593136,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
pH salida y control Ecualizador 1,numeric,0.06208996768265366,0.55,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
planta1_activa,categorical,0.0026610872656746155,0.2,mannwhitney,False,,,,,,,planta1,decay,mannwhitney
Conductividad DAF,numeric,1.9207146647197766,0.2,psi,True,,,,,,,planta1,decay,psi
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.09069655456428824,0.2,psi,False,,,,,,,planta1,decay,psi
Flujo de envío a DAF,numeric,0.31084476388891813,0.2,psi,True,,,,,,,planta1,decay,psi
Nivel Clarificado DAF (Tk 80m3),numeric,2.1314393628801263,0.2,psi,True,,,,,,,planta1,decay,psi
Nivel Ecualizador 1 (Tk 30m3),numeric,6.724964984325773,0.2,psi,True,,,,,,,planta1,decay,psi
Nivel Ecualizador 2 (Tk 250m3),numeric,1.4833810967578636,0.2,psi,True,,,,,,,planta1,decay,psi
Temperatura DAF,numeric,0.0,0.2,psi,False,,,,,,,planta1,decay,psi
Turbidez salida DAF,numeric,0.7706190420867185,0.2,psi,True,,,,,,,planta1,decay,psi
pH Clarificado DAF (Tk 80m3),numeric,5.687027789863746,0.2,psi,True,,,,,,,planta1,decay,psi
pH coagulación entrada DAF,numeric,4.4445991187501965,0.2,psi,True,,,,,,,planta1,decay,psi
pH entrada a Ecualizador 1,numeric,0.0,0.2,psi,False,,,,,,,planta1,decay,psi
pH entrada a Ecualizador 2 (Tk 250m3),numeric,1.2713639322609063,0.2,psi,True,,,,,,,planta1,decay,psi
pH salida a Parshall 02,numeric,0.8554272847175635,0.2,psi,True,,,,,,,planta1,decay,psi
pH salida y control Ecualizador 1,numeric,9.59531115382246,0.2,psi,True,,,,,,,planta1,decay,psi
planta1_activa,categorical,0.0026610872656746155,0.2,psi,False,,,,,,,planta1,decay,psi
